state,x,y
Alabama,480,330
Alaska,135,410
Arizona,130,275
Arkansas,400,275
California,10,250
Colorado,220,220
Connecticut,640,160
Delaware,635,200
Florida,555,375
Georgia,535,320
Hawaii,0,375
Idaho,120,120
Illinois,440,210
Indiana,475,190
Iowa,390,165
Kansas,310,225
Kentucky,490,240
Louisiana,412,365
Maine,675,60
Maryland,575,190
Massachusetts,640,130
Michigan,485,125
Minnesota,365,80
Mississippi,430,320
Missouri,400,225
Montana,185,80
Nebraska,300,175
Nevada,85,175
New Hampshire,640,110
New Jersey,650,180
New Mexico,205,285
New York,585,130
North Carolina,575,255
North Dakota,290,80
Ohio,525,190
Oklahoma,325,275
Oregon,65,100
Pennsylvania,555,170
Rhode Island,640,145
South Carolina,575,300
South Dakota,290,130
Tennessee,475,265
Texas,310,350
Utah,165,200
Vermont,625,85
Virginia,580,225
Washington,50,40
West Virginia,550,205
Wisconsin,425,125
Wyoming,200,150
